R604,BOROUGH HALL/CT
B010,BOTANIC GARDEN
A064,BOWERY
R201,BOWLING GREEN
R200A,BOWLING GREEN
R202,BOWLING GREEN
N133,BOYD-88 ST
B029,BRIGHTON BEACH
B031,BRIGHTON BEACH
N183,BROAD CHANNEL
A083,BROAD ST
A084,BROAD ST
A085,BROAD ST
N412,BROADWAY
R512,BROADWAY-31 ST
N124,BROADWAY-ENY
N519,BROADWAY/LAFAY
N519A,BROADWAY/LAFAY
R326,BRONX PARK EAST
R402,BROOK AVE
R403,BROOK AVE
R210,BROOKLYN BRIDGE
R210A,BROOKLYN BRIDGE
R422,BUHRE AVE
R330,BURKE AVE
R287,BURNSIDE AVE
H033,BUSHWICK AVE
A066,CANAL ST
N089,CANAL ST
N090,CANAL ST
R119,CANAL ST
R120,CANAL ST
A043,CANAL ST
A044,CANAL ST
A046,CANAL ST
R214,CANAL ST
N535,CARROLL ST
N534,CARROLL ST
R418,CASTLE HILL AVE
N035,CATHEDRL-110 ST
N034,CATHEDRL-110 ST
K017,CENTRAL AVE
N091,CHAMBERS ST
N092,CHAMBERS ST
R116,CHAMBERS ST
A069,CHAMBERS ST
A071,CHAMBERS ST
J017,CHAUNCEY ST
R125,CHRISTOPHER ST
R126,CHRISTOPHER ST
PTH09,CHRISTOPHER ST
B016,CHURCH AVE
B015,CHURCH AVE
R639,CHURCH AVE
N546,CHURCH AVE
N545,CHURCH AVE
PTH07,CITY / BUS
R600,CLARK ST
N419,CLASSON AVE
J022,CLEVELAND ST
N111,CLINTON-WASH AV
N112A,CLINTON-WASH AV
N420B,CLINTON-WASH AV
B018,CORTELYOU ROAD
A050,CORTLANDT ST
A052,CORTLANDT ST
A051,CORTLANDT ST
A053,CORTLANDT ST
R107,CORTLANDT ST
R106,CORTLANDT ST
R108,CORTLANDT ST
R109,CORTLANDT ST
R508,COURT SQ
N400,COURT SQ
N400A,COURT SQ
N307,COURT SQ-23 ST
J024,CRESCENT ST
R626,CROWN HTS-UTICA
R625,CROWN HTS-UTICA
R404,CYPRESS AVE
R405,CYPRESS AVE
J025,CYPRESS HILLS
C008,DEKALB AVE
H023,DEKALB AVE
N525,DELANCEY ST
N526,DELANCEY ST
R515,DITMARS BL-31 S
N548,DITMAS AVE
N547,DITMAS AVE
R186,DYCKMAN ST
N003,DYCKMAN-200 ST
R730,DYRE AVE
R406,E 143 ST
R407,E 143 ST
R408,E 149 ST
R409,E 149 ST
R417,E 177 ST-PARKCH
R325,E 180 ST
R323,E TREMONT AVE
R323A,E TREMONT AVE
H040,EAST 105 ST
N529,EAST BROADWAY
N528,EAST BROADWAY
R621,EASTERN PKWY
R414,ELDER AVE
J028,ELDERTS LANE
N325A,ELMHURST AVE
X002,ELTINGVILLE PK
A061,ESSEX ST
N128,EUCLID AVE
PTH05,EXCHANGE PLACE
N196,FAR ROCKAWAY
R645,FLATBUSH AVE
R646,FLATBUSH AVE
R647,FLATBUSH AVE
N414,FLUSHING AVE
N414A,FLUSHING AVE
J007,FLUSHING AVE
N217,FORDHAM ROAD
N218,FORDHAM ROAD
R289,FORDHAM ROAD
K024,FOREST AVE
N333A,FOREST HILLS-71
N333,FOREST HILLS-71
N333B,FOREST HILLS-71
J030,FOREST PARKWAY
R622,FRANKLIN AVE
N113,FRANKLIN AVE
N114,FRANKLIN AVE
R117,FRANKLIN ST
R118,FRANKLIN ST
R320,FREEMAN ST
R319,FREEMAN ST
K025,FRESH POND ROAD
N543,FT HAMILTON PKY
N544,FT HAMILTON PKY
E003,FT HAMILTON PKY
D003,FT HAMILTON PKY
D004,FT HAMILTON PKY
A077,FULTON ST
A081,FULTON ST
A082,FULTON ST
N095,FULTON ST
R205,FULTON ST
R206,FULTON ST
R208,FULTON ST
R205A,FULTON ST
R113A,FULTON ST
R113,FULTON ST
R114,FULTON ST
N422,FULTON ST
J013,GATES AVE
H014,GRAHAM AVE
H013,GRAHAM AVE
R619,GRAND ARMY PLAZ
N327,GRAND AV-NEWTON
N520,GRAND ST
H016,GRAND ST
H015,GRAND ST
R513,GRAND-30 AVE
N129,GRANT AVE
N405,GREENPOINT AVE
N403,GREENPOINT AVE
N139,GREENWOOD-111
N138,GREENWOOD-111
PTH04,GROVE STREET
R728,GUN HILL ROAD
R331,GUN HILL ROAD
H028,HALSEY ST
H030,HALSEY ST
J016,HALSEY ST
PTH02,HARRISON
J003,HEWES ST
N100,HIGH ST
N101,HIGH ST
R123,HOUSTON ST
R121,HOUSTON ST
R122,HOUSTON ST
R124,HOUSTON ST
N182,HOWARD BCH-JFK
N182A,HOWARD BCH-JFK
R606,HOYT ST
R605,HOYT ST
R514,HOYT ST-ASTORIA
N108,HOYT/SCHERMER
N131,HUDSON-80 ST
N130,HUDSON-80 ST
R507,HUNTERS PT AVE
R412,HUNTS POINT AVE
R316,INTERVALE-163
N002A,INWOOD-207 ST
N001,INWOOD-207 ST
R312,JACKSON AVE
N606,JAMAICA CENTER
N607,JAMAICA CENTER
N343,JAMAICA-179 ST
N342,JAMAICA-179 ST
N604,JAMAICA-VAN WYC
C003,JAY ST-METROTEC
C004,JAY ST-METROTEC
N103,JAY ST-METROTEC
N102,JAY ST-METROTEC
H022,JEFFERSON ST
JFK01,JFK HOWARD BCH
JFK02,JFK HOWARD BCH
JFK03,JFK JAMAICA CT1
JFK04,JFK JAMAICA CT2
PTH03,JOURNAL SQUARE
R528,JUNCTION BLVD
R630,JUNIUS ST
N557,KINGS HIGHWAY
N558,KINGS HIGHWAY
B024,KINGS HIGHWAY
B023,KINGS HIGHWAY
B024A,KINGS HIGHWAY
D012,KINGS HIGHWAY
N221,KINGSBRIDGE RD
N220,KINGSBRIDGE RD
R290,KINGSBRIDGE RD
R624,KINGSTON AVE
N119,KINGSTON-THROOP
N118,KINGSTON-THROOP
K019,KNICKERBOCKER
J012,KOSCIUSZKO ST
PTH16,LACKAWANNA
N110,LAFAYETTE AVE
N141,LEFFERTS BLVD
A004,LEXINGTON AVE
A002,LEXINGTON AVE
N601,LEXINGTON AVE
N305A,LEXINGTON-53 ST
N306,LEXINGTON-53 ST
N305,LEXINGTON-53 ST
LGA01,LGA AIRPORT CTB
LI001,LIB-HEMPSTEAD
N125,LIBERTY AVE
H038,LIVONIA AVE
R410,LONGWOOD AVE
R411,LONGWOOD AVE
H012,LORIMER ST
J005,LORIMER ST
R533,MAIN ST
R534,MAIN ST
R192,MARBLE HILL-225
J002,MARCY AVE
J001,MARCY AVE
MCB1,METROCARD BUS 1
MCB2,METROCARD BUS 2
MCV1,METROCARD VAN-1
MCV2,METROCARD VAN-2
MCV3,METROCARD VAN-3
K026,METROPOLITAN AV
N409,METROPOLITAN AV
R532,METS-WILLETS PT
R532G,METS-WILLETS PT
R532H,METS-WILLETS PT
R421,MIDDLETOWN ROAD
H017,MONTROSE AVE
H019,MORGAN AVE
